                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2166,                 4.1186,                 4.2369,                0.00134,                0.16362,                0.00094,                0.00018,                 2.7728,                 4.3049,                 4.1544,             0.00025005,             0.00025005,             0.00025005
                      2,                 2.8981,                 3.0986,                 3.9161,                0.00058,                0.09162,                0.00047,                  9e-05,                 2.7685,                 4.3018,                 4.1522,             0.00051165,             0.00051165,             0.00051165
                      3,                 2.4181,                 2.6057,                 3.4876,                0.00082,                0.11362,                0.00081,                0.00013,                 2.7835,                 4.2738,                 4.1766,             0.00076798,             0.00076798,             0.00076798
                      4,                 2.1323,                 2.2745,                 3.1172,                0.00105,                0.13152,                0.00066,                0.00015,                 2.8293,                 4.2809,                 4.2475,               0.001019,               0.001019,               0.001019
                      5,                 2.0794,                 1.9856,                 2.8687,                 0.0034,                0.37552,                0.00337,                0.00094,                  2.683,                   4.03,                 3.9884,              0.0012648,              0.0012648,              0.0012648
                      6,                 1.9791,                 1.8978,                 2.7908,                0.53843,                0.29263,                0.45471,                0.20818,                 1.7751,                 2.9368,                 2.8087,              0.0015053,              0.0015053,              0.0015053
                      7,                 1.8905,                 1.8388,                 2.6254,                 0.2722,                0.62019,                0.35349,                0.19068,                 1.6988,                 2.9135,                 2.6636,               0.001568,               0.001568,               0.001568
                      8,                 1.6861,                 1.7037,                 2.4696,                0.75722,                0.48196,                0.70956,                 0.2687,                 2.0957,                 2.6234,                 3.2165,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.7244,                 1.6493,                  2.475,                0.57188,                0.75389,                0.70314,                0.38945,                 1.5742,                  1.974,                 2.5786,               0.001535,               0.001535,               0.001535
                     10,                 1.6588,                 1.5967,                 2.3912,                0.55544,                0.82643,                0.75079,                0.50936,                 1.2446,                 1.7624,                 2.0554,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.6337,                 1.5421,                  2.354,                0.80004,                0.65886,                0.84283,                0.46957,                 1.6089,                  2.093,                 2.5571,               0.001502,               0.001502,               0.001502
                     12,                 1.5216,                 1.4353,                 2.2185,                 0.6545,                 0.4569,                 0.6109,                 0.3627,                 1.4932,                 2.5395,                 2.3544,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.4583,                 1.3761,                 2.1623,                0.82779,                0.79228,                0.90193,                0.61924,                 1.2302,                 1.8023,                 2.1407,               0.001469,               0.001469,               0.001469
                     14,                 1.3617,                 1.3463,                 2.0785,                0.82292,                0.81735,                0.93715,                0.59253,                 1.3871,                 1.5757,                 2.3098,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.3117,                 1.3009,                 1.9979,                0.66871,                 0.7938,                0.85826,                0.63845,                 1.0695,                 1.5258,                 1.9362,               0.001436,               0.001436,               0.001436
                     16,                 1.2519,                 1.2717,                 1.9226,                 0.5399,                0.80538,                0.71842,                0.54758,                  1.003,                 1.6015,                 1.8702,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.1637,                 1.2118,                 1.8444,                 0.7337,                0.88892,                0.94577,                0.72849,                0.96623,                 1.4149,                 1.8019,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.1616,                  1.155,                 1.8182,                0.75433,                 0.8856,                0.84766,                0.63485,                 1.0176,                 1.3192,                 1.9529,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.1287,                 1.1022,                 1.7932,                0.89866,                0.92714,                0.98864,                0.75894,                0.96387,                 1.0498,                 1.7702,              0.0013699,              0.0013699,              0.0013699
