                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2014,                 4.7524,                 4.5919,                0.00058,                 0.1875,                0.00054,                0.00014,                 2.8568,                 4.5339,                 4.1578,             0.00010002,             0.00010002,             0.00010002
                      2,                 3.0779,                 4.3194,                 4.3904,                 0.0003,                0.13939,                 0.0002,                  3e-05,                 2.8556,                 4.5361,                 4.1576,             0.00021456,             0.00021456,             0.00021456
                      3,                 2.9837,                 4.0092,                  4.158,                 0.0003,                0.13939,                0.00021,                  3e-05,                 2.8582,                 4.5372,                 4.1606,              0.0003268,              0.0003268,              0.0003268
                      4,                 2.8547,                  3.594,                 4.0149,                0.00029,                0.13939,                0.00022,                  4e-05,                 2.8626,                 4.5334,                 4.1663,             0.00043672,             0.00043672,             0.00043672
                      5,                 2.7323,                 3.3824,                 3.8075,                0.00029,                0.13939,                0.00022,                  3e-05,                 2.8673,                 4.5018,                  4.178,             0.00054434,             0.00054434,             0.00054434
                      6,                 2.6037,                 3.1096,                 3.6372,                0.00029,                0.13939,                0.00022,                  4e-05,                 2.8769,                 4.4761,                 4.1934,             0.00064964,             0.00064964,             0.00064964
                      7,                 2.6587,                 3.0243,                 3.6279,                0.00029,                0.13939,                0.00022,                  3e-05,                 2.9051,                 4.4828,                 4.2359,             0.00075263,             0.00075263,             0.00075263
                      8,                 2.4954,                 2.7403,                 3.4479,                0.00029,                0.13939,                0.00022,                  3e-05,                 2.9259,                 4.4921,                 4.2671,             0.00085331,             0.00085331,             0.00085331
                      9,                 2.4419,                 2.6539,                 3.2715,                0.00024,                0.13158,                0.00016,                  2e-05,                 2.9514,                 4.4928,                  4.311,             0.00095168,             0.00095168,             0.00095168
                     10,                  2.453,                 2.6038,                 3.2792,                0.00027,                0.12623,                0.00016,                  3e-05,                 2.9539,                 4.4839,                 4.3339,              0.0010477,              0.0010477,              0.0010477
                     11,                 2.3627,                 2.5776,                 3.1361,                0.00034,                 0.1472,                0.00021,                  3e-05,                 2.9398,                 4.4855,                 4.3391,              0.0011415,              0.0011415,              0.0011415
                     12,                 2.2684,                  2.471,                 2.9729,                 0.0001,                0.01562,                  6e-05,                  1e-05,                 2.8498,                 4.4078,                 4.2918,              0.0012329,              0.0012329,              0.0012329
                     13,                 2.1466,                  2.254,                 2.9453,                  6e-05,                0.01562,                  4e-05,                  1e-05,                 2.7801,                 4.3714,                 4.2269,              0.0013221,              0.0013221,              0.0013221
                     14,                  1.994,                 2.3969,                 2.8066,                0.00166,                 0.2903,                0.00111,                 0.0005,                 2.4942,                 4.2219,                  3.796,              0.0014089,              0.0014089,              0.0014089
                     15,                  2.135,                 2.2074,                 2.9339,                0.00364,                0.96587,                0.14998,                0.07162,                 2.2826,                 3.8531,                 3.4072,               0.001436,               0.001436,               0.001436
                     16,                 2.0573,                 2.2573,                 2.8876,                0.50266,                0.17023,                0.42685,                0.15327,                 2.1183,                 3.6115,                 2.9424,               0.001436,               0.001436,               0.001436
                     17,                 1.8571,                 2.0881,                 2.6522,                0.47383,                0.80983,                0.55494,                0.32608,                  1.648,                 2.2732,                 2.5114,              0.0014195,              0.0014195,              0.0014195
                     18,                 1.8391,                 2.1258,                 2.7296,                0.44507,                0.85074,                0.54354,                0.32609,                 1.5184,                 2.0868,                 2.4081,              0.0014029,              0.0014029,              0.0014029
                     19,                 1.7824,                 2.1416,                 2.6652,                0.00365,                 0.9375,                0.21207,                0.09724,                 2.1287,                 3.8226,                 3.1538,              0.0013864,              0.0013864,              0.0013864
                     20,                 1.7149,                 1.9016,                 2.6438,                0.32014,                0.11718,                0.33676,                0.15544,                 2.2496,                 3.6483,                 3.1811,              0.0013699,              0.0013699,              0.0013699
                     21,                 1.7789,                 1.9541,                 2.7265,                0.46497,                0.28643,                0.45576,                 0.2878,                 1.5678,                 3.0997,                 2.6828,              0.0013534,              0.0013534,              0.0013534
                     22,                 1.6703,                 1.8156,                 2.5203,                0.47194,                0.70965,                0.56734,                 0.3776,                 1.3593,                 2.3134,                  2.338,              0.0013369,              0.0013369,              0.0013369
                     23,                 1.5746,                 1.7562,                    2.5,                0.52399,                 0.7352,                0.58621,                0.39355,                 1.1888,                 1.8093,                 2.1357,              0.0013204,              0.0013204,              0.0013204
                     24,                 1.7026,                 1.9143,                 2.5328,                0.55447,                0.86524,                0.70665,                0.35641,                 1.6821,                 1.8272,                 2.5891,              0.0013039,              0.0013039,              0.0013039
                     25,                 1.3952,                 1.6758,                  2.342,                0.52206,                0.89062,                0.70823,                0.34737,                   1.82,                 2.1325,                 2.7479,              0.0012874,              0.0012874,              0.0012874
                     26,                 1.4226,                 1.6914,                 2.3152,                0.49002,                0.65337,                0.64112,                0.28342,                 2.0789,                 2.4253,                 3.0342,              0.0012709,              0.0012709,              0.0012709
                     27,                  1.338,                 1.5163,                 2.2366,                0.54557,                0.83594,                0.65816,                0.38621,                 1.4059,                 2.4243,                 2.3272,              0.0012544,              0.0012544,              0.0012544
                     28,                 1.3892,                 1.6227,                 2.2273,                0.66487,                0.71217,                0.77575,                0.37407,                 1.9602,                 2.4574,                 2.9133,              0.0012379,              0.0012379,              0.0012379
                     29,                 1.3985,                 1.5346,                 2.2647,                0.70437,                0.63475,                0.78951,                0.43203,                 1.5279,                 2.3899,                  2.537,              0.0012214,              0.0012214,              0.0012214
                     30,                 1.4361,                 1.5926,                 2.1905,                0.65536,                0.79759,                0.76583,                0.49454,                 1.3805,                 1.9594,                  2.122,              0.0012049,              0.0012049,              0.0012049
                     31,                 1.3243,                 1.5969,                  2.122,                0.77929,                0.93756,                0.88579,                 0.5963,                 1.1737,                 1.4838,                 2.1598,              0.0011884,              0.0011884,              0.0011884
                     32,                 1.2706,                 1.4252,                 2.1326,                 0.7226,                0.94737,                0.85719,                0.64048,                 1.0502,                 1.4633,                 1.8122,              0.0011719,              0.0011719,              0.0011719
                     33,                 1.4332,                 1.5177,                  2.148,                0.78547,                0.97777,                0.85846,                0.68666,                0.89817,                 1.4304,                 1.7896,              0.0011554,              0.0011554,              0.0011554
                     34,                 1.3652,                 1.4162,                 2.1445,                0.78565,                0.83429,                0.81064,                0.56473,                 1.2806,                 1.5454,                 2.1517,              0.0011389,              0.0011389,              0.0011389
                     35,                 1.3735,                 1.4505,                 2.1279,                0.54171,                0.97889,                0.87691,                0.63266,                 1.0692,                 1.6789,                 1.7512,              0.0011224,              0.0011224,              0.0011224
                     36,                 1.3015,                 1.3357,                 1.9699,                0.68225,                0.86038,                0.95232,                0.69775,                  1.051,                 1.4254,                 1.8746,              0.0011059,              0.0011059,              0.0011059
                     37,                 1.1768,                 1.3005,                 1.9411,                0.90589,                0.86678,                0.96227,                 0.6926,                 1.1071,                 1.2581,                 1.8909,              0.0010894,              0.0010894,              0.0010894
                     38,                 1.1763,                 1.2913,                  1.927,                0.73187,                0.96208,                0.93325,                0.75647,                0.80122,                 1.2709,                 1.6196,              0.0010729,              0.0010729,              0.0010729
                     39,                  1.207,                 1.3395,                 1.9375,                0.79726,                0.85238,                0.87158,                0.71471,                0.83105,                 1.4904,                 1.6057,              0.0010564,              0.0010564,              0.0010564
                     40,                 1.1246,                 1.2843,                 1.8965,                 0.7594,                0.63089,                0.68853,                0.45999,                 1.3549,                 2.0127,                 2.1507,              0.0010399,              0.0010399,              0.0010399
                     41,                 1.1271,                 1.2074,                 1.8992,                0.71139,                0.90789,                0.88759,                0.70001,                0.91193,                 1.4368,                 1.7209,              0.0010234,              0.0010234,              0.0010234
                     42,                 1.1982,                 1.2298,                 1.9384,                0.69357,                0.78259,                0.88672,                0.71124,                0.92039,                 1.5467,                 1.7234,              0.0010069,              0.0010069,              0.0010069
                     43,                 1.0842,                 1.1767,                 1.7729,                0.81656,                0.96053,                0.95156,                0.73641,                0.90155,                  1.387,                 1.7177,             0.00099036,             0.00099036,             0.00099036
                     44,                 1.0507,                 1.1596,                 1.7642,                0.74035,                0.95311,                 0.9369,                0.78095,                0.74806,                 1.2622,                 1.5809,             0.00097386,             0.00097386,             0.00097386
                     45,                 1.0472,                 1.1513,                 1.7753,                0.71423,                0.93268,                0.90791,                0.75323,                0.75012,                 1.2783,                 1.5219,             0.00095736,             0.00095736,             0.00095736
                     46,                 1.0711,                 1.0848,                 1.7572,                0.90978,                0.95856,                0.98354,                0.78094,                0.81281,                 1.0088,                 1.5463,             0.00094085,             0.00094085,             0.00094085
                     47,                  0.973,                 1.0774,                 1.7173,                0.79625,                0.96626,                0.86394,                0.72545,                0.70382,                 1.3065,                  1.491,             0.00092435,             0.00092435,             0.00092435
                     48,                 1.0013,                 1.0586,                 1.7186,                0.92951,                0.96735,                0.97585,                0.83706,                0.65441,                 1.2067,                 1.4978,             0.00090785,             0.00090785,             0.00090785
                     49,                 1.0467,                 1.2255,                 1.7724,                0.99022,                      1,                  0.995,                0.82418,                0.72963,                  1.061,                 1.4448,             0.00089134,             0.00089134,             0.00089134
                     50,                 1.0061,                 1.1321,                 1.7219,                0.97783,                0.92626,                0.98695,                0.86079,                0.65669,                0.91914,                 1.3983,             0.00087484,             0.00087484,             0.00087484
                     51,                 1.0695,                 1.1835,                 1.7575,                 0.9983,                0.97854,                0.99353,                0.82261,                0.70409,                0.87139,                 1.4035,             0.00085834,             0.00085834,             0.00085834
                     52,                0.98186,                 1.0432,                 1.6489,                0.96163,                0.90705,                0.99217,                0.82612,                0.73599,                0.98981,                 1.5064,             0.00084184,             0.00084184,             0.00084184
                     53,                0.91256,                 0.9913,                 1.6416,                0.97759,                      1,                0.99344,                  0.865,                0.66296,                0.91787,                 1.4281,             0.00082533,             0.00082533,             0.00082533
                     54,                0.91844,                 1.0553,                 1.6365,                0.90151,                0.99219,                0.96931,                0.78351,                0.86637,                 1.1401,                 1.5924,             0.00080883,             0.00080883,             0.00080883
                     55,                0.94243,                 1.0119,                 1.6444,                0.97829,                 0.9722,                0.99405,                0.84045,                0.75979,                 1.0029,                 1.5098,             0.00079233,             0.00079233,             0.00079233
                     56,                0.87731,                0.98621,                 1.5565,                0.96956,                0.98573,                0.99423,                0.87215,                0.63941,                0.92667,                 1.3887,             0.00077582,             0.00077582,             0.00077582
                     57,                0.89377,                0.96516,                  1.607,                0.90889,                0.96945,                0.99218,                0.85314,                0.66527,                0.93694,                 1.3678,             0.00075932,             0.00075932,             0.00075932
                     58,                0.87697,                 1.0149,                 1.5608,                0.84209,                 0.9737,                 0.9791,                0.83993,                0.67563,                  1.008,                 1.3955,             0.00074282,             0.00074282,             0.00074282
                     59,                0.94977,                  1.092,                 1.6384,                0.97049,                0.99157,                0.99363,                0.86574,                0.59823,                0.86522,                 1.3458,             0.00072631,             0.00072631,             0.00072631
                     60,                0.86176,                0.93457,                  1.562,                0.98943,                0.97489,                0.99419,                0.89099,                0.55536,                0.78047,                   1.31,             0.00070981,             0.00070981,             0.00070981
                     61,                 0.7938,                0.92131,                  1.508,                0.98641,                0.92452,                0.99143,                0.87264,                0.60721,                 0.8178,                  1.316,             0.00069331,             0.00069331,             0.00069331
                     62,                0.85508,                0.97202,                 1.5639,                0.85058,                 0.8639,                 0.9766,                0.88089,                0.53934,                0.89055,                 1.2646,              0.0006768,              0.0006768,              0.0006768
                     63,                0.85396,                0.90032,                 1.5273,                0.99114,                0.99219,                0.99492,                 0.8905,                0.54824,                0.71754,                 1.2398,              0.0006603,              0.0006603,              0.0006603
                     64,                0.81358,                0.89226,                 1.4885,                0.96208,                0.99247,                  0.995,                0.86675,                0.64868,                0.83446,                 1.3315,              0.0006438,              0.0006438,              0.0006438
                     65,                0.85589,                0.87982,                 1.5084,                0.97752,                0.97317,                  0.995,                0.87576,                0.61032,                0.77869,                  1.262,             0.00062729,             0.00062729,             0.00062729
                     66,                0.78116,                 0.9106,                 1.4268,                 0.9867,                0.99731,                  0.995,                 0.8923,                0.52457,                0.70938,                 1.2438,             0.00061079,             0.00061079,             0.00061079
                     67,                0.82085,                0.84844,                 1.5006,                0.82234,                0.93035,                0.98881,                0.86449,                0.60869,                0.87002,                 1.2646,             0.00059429,             0.00059429,             0.00059429
                     68,                0.85854,                0.93094,                 1.4726,                0.87839,                0.93976,                 0.9934,                0.89642,                0.55376,                0.80646,                  1.244,             0.00057778,             0.00057778,             0.00057778
                     69,                0.81635,                0.86133,                 1.4968,                0.98719,                      1,                  0.995,                0.89116,                0.55463,                0.72408,                 1.2286,             0.00056128,             0.00056128,             0.00056128
                     70,                0.83078,                0.91821,                 1.4738,                0.99782,                      1,                  0.995,                0.90227,                0.50256,                 0.6635,                 1.1715,             0.00054478,             0.00054478,             0.00054478
                     71,                0.77773,                0.84337,                 1.4646,                0.99223,                      1,                  0.995,                0.89538,                0.51482,                0.67646,                 1.1827,             0.00052827,             0.00052827,             0.00052827
